Time,Voltage,Current (mA/cm²),Mode,Comm Delay (ms),Exec Time (ms),Total Delay (ms)
500.8,0.420,14.107560,JVsweep,0.000,41.806,41.806
500.9,0.430,14.345430,JVsweep,0.000,43.147,43.147
500.9,0.440,14.199300,JVsweep,0.000,42.035,42.035
501.0,0.450,14.064590,JVsweep,0.000,48.840,48.840
501.0,0.460,14.056970,JVsweep,0.000,42.433,42.433
501.1,0.470,14.102410,JVsweep,0.000,47.914,47.914
501.1,0.480,14.076410,JVsweep,0.000,42.151,42.151
501.2,0.490,14.158090,JVsweep,0.000,48.212,48.212
501.2,0.500,14.207540,JVsweep,0.000,40.512,40.512
501.2,0.510,14.184740,JVsweep,0.000,45.331,45.331
501.3,0.520,14.055960,JVsweep,0.000,47.964,47.964
501.3,0.530,13.872320,JVsweep,0.000,40.915,40.915
501.4,0.540,13.865930,JVsweep,0.000,45.356,45.356
501.4,0.550,14.204340,JVsweep,0.000,40.891,40.891
501.5,0.560,14.273150,JVsweep,0.000,41.409,41.409
501.5,0.570,14.245750,JVsweep,0.000,41.312,41.312
501.6,0.580,14.198730,JVsweep,0.000,50.153,50.153
501.6,0.590,14.106750,JVsweep,0.000,42.162,42.162
501.6,0.600,14.019730,JVsweep,0.000,47.784,47.784
501.7,0.610,13.903310,JVsweep,0.000,41.305,41.305
501.7,0.620,13.906160,JVsweep,0.000,47.757,47.757
501.8,0.630,13.777440,JVsweep,0.000,41.275,41.275
501.8,0.640,13.731670,JVsweep,0.000,45.862,45.862
501.9,0.650,13.794230,JVsweep,0.000,48.004,48.004
501.9,0.660,13.802760,JVsweep,0.000,41.103,41.103
502.0,0.670,13.756800,JVsweep,0.000,44.430,44.430
502.0,0.680,13.677320,JVsweep,0.000,41.335,41.335
502.0,0.690,13.621430,JVsweep,0.000,41.575,41.575
502.1,0.700,13.520010,JVsweep,0.000,41.289,41.289
502.1,0.710,13.454210,JVsweep,0.000,48.263,48.263
502.2,0.720,13.357480,JVsweep,0.000,41.102,41.102
502.2,0.730,13.340270,JVsweep,0.000,48.189,48.189
502.3,0.740,13.284660,JVsweep,0.000,41.130,41.130
502.3,0.750,13.137300,JVsweep,0.000,48.150,48.150
502.3,0.760,12.934280,JVsweep,0.000,41.400,41.400
502.4,0.770,12.709430,JVsweep,0.000,45.361,45.361
502.4,0.780,12.505770,JVsweep,0.000,48.111,48.111
502.5,0.790,12.352340,JVsweep,0.000,41.299,41.299
502.5,0.800,12.177190,JVsweep,0.000,47.783,47.783
502.6,0.810,11.966290,JVsweep,0.000,41.100,41.100
502.6,0.820,11.798220,JVsweep,0.000,48.322,48.322
502.7,0.830,11.567610,JVsweep,0.000,41.312,41.312
502.7,0.840,11.477950,JVsweep,0.000,48.122,48.122
502.7,0.850,11.304810,JVsweep,0.000,41.718,41.718
502.8,0.860,11.006900,JVsweep,0.000,44.991,44.991
502.8,0.870,10.682510,JVsweep,0.000,48.095,48.095
502.9,0.880,10.357140,JVsweep,0.000,40.802,40.802
502.9,0.890,10.025370,JVsweep,0.000,54.548,54.548
503.0,0.900,9.539806,JVsweep,0.000,41.224,41.224
503.0,0.910,9.087704,JVsweep,0.000,48.252,48.252
503.1,0.920,8.571830,JVsweep,0.000,41.809,41.809
503.1,0.930,8.084431,JVsweep,0.000,48.541,48.541
503.2,0.940,7.623335,JVsweep,0.000,41.624,41.624
503.2,0.950,7.071309,JVsweep,0.000,45.023,45.023
503.3,0.960,6.425395,JVsweep,0.000,47.820,47.820
503.3,0.970,5.737978,JVsweep,0.000,41.443,41.443
503.3,0.980,4.922517,JVsweep,0.000,45.231,45.231
503.4,0.990,3.943163,JVsweep,0.000,41.182,41.182
503.4,1.000,2.984646,JVsweep,0.000,47.556,47.556
503.5,1.010,1.949605,JVsweep,0.000,41.137,41.137
503.5,1.020,0.922709,JVsweep,0.000,64.962,64.962
503.6,1.030,-0.407459,JVsweep,0.000,43.149,43.149
503.7,1.040,-1.414797,JVsweep,0.000,74.451,74.451
503.7,1.050,-2.724951,JVsweep,0.000,42.278,42.278
503.7,1.060,-4.256865,JVsweep,0.000,41.957,41.957
503.8,1.070,-5.546094,JVsweep,0.000,47.813,47.813
503.9,1.060,-3.429703,JVsweep,0.000,40.682,40.682
503.9,1.050,-1.509337,JVsweep,0.000,48.283,48.283
504.0,1.040,0.157622,JVsweep,0.000,58.357,58.357
504.0,1.030,1.791037,JVsweep,0.000,74.373,74.373
504.1,1.020,3.234977,JVsweep,0.000,42.635,42.635
504.1,1.010,4.488523,JVsweep,0.000,41.269,41.269
504.2,1.000,5.648026,JVsweep,0.000,40.751,40.751
504.2,0.990,6.697438,JVsweep,0.000,47.908,47.908
504.3,0.980,7.579607,JVsweep,0.000,41.461,41.461
504.3,0.970,8.365359,JVsweep,0.000,48.425,48.425
504.4,0.960,9.064694,JVsweep,0.000,41.979,41.979
504.4,0.950,9.684672,JVsweep,0.000,48.474,48.474
504.4,0.940,10.288930,JVsweep,0.000,41.544,41.544
504.5,0.930,10.967880,JVsweep,0.000,68.130,68.130
504.6,0.920,11.324900,JVsweep,0.000,48.398,48.398
504.6,0.910,11.606460,JVsweep,0.000,40.823,40.823
504.7,0.900,11.799480,JVsweep,0.000,49.890,49.890
504.7,0.890,12.018700,JVsweep,0.000,49.559,49.559
504.7,0.880,12.268570,JVsweep,0.000,41.062,41.062
504.8,0.870,12.425410,JVsweep,0.000,44.611,44.611
504.8,0.860,12.588680,JVsweep,0.000,41.161,41.161
504.9,0.850,12.734560,JVsweep,0.000,47.948,47.948
504.9,0.840,12.956590,JVsweep,0.000,41.472,41.472
505.0,0.830,13.291300,JVsweep,0.000,48.108,48.108
505.0,0.820,13.550290,JVsweep,0.000,41.259,41.259
505.1,0.810,13.644300,JVsweep,0.000,49.795,49.795
505.1,0.800,13.669710,JVsweep,0.000,47.645,47.645
505.1,0.790,13.644280,JVsweep,0.000,42.504,42.504
505.2,0.780,13.631190,JVsweep,0.000,43.311,43.311
505.2,0.770,13.603830,JVsweep,0.000,41.451,41.451
505.3,0.760,13.564270,JVsweep,0.000,47.901,47.901
505.3,0.750,13.659240,JVsweep,0.000,41.639,41.639
505.4,0.740,13.749160,JVsweep,0.000,47.831,47.831
505.4,0.730,13.814280,JVsweep,0.000,41.251,41.251
505.5,0.720,13.952200,JVsweep,0.000,48.339,48.339
505.5,0.710,14.165960,JVsweep,0.000,41.032,41.032
505.5,0.700,14.278030,JVsweep,0.000,48.196,48.196
505.6,0.690,14.322960,JVsweep,0.000,48.681,48.681
505.6,0.680,14.282410,JVsweep,0.000,41.089,41.089
505.7,0.670,14.152220,JVsweep,0.000,48.003,48.003
505.7,0.660,14.091630,JVsweep,0.000,40.931,40.931
505.8,0.650,14.114670,JVsweep,0.000,48.424,48.424
505.8,0.640,14.111180,JVsweep,0.000,41.055,41.055
505.9,0.630,14.148460,JVsweep,0.000,47.774,47.774
505.9,0.620,14.220530,JVsweep,0.000,41.306,41.306
506.0,0.610,14.382630,JVsweep,0.000,46.160,46.160
506.0,0.600,14.482900,JVsweep,0.000,47.405,47.405
506.0,0.590,14.476490,JVsweep,0.000,41.177,41.177
506.1,0.580,14.338930,JVsweep,0.000,44.404,44.404
506.1,0.570,14.431060,JVsweep,0.000,41.722,41.722
506.2,0.560,14.308750,JVsweep,0.000,47.725,47.725
506.2,0.550,14.307710,JVsweep,0.000,40.923,40.923
506.3,0.540,14.345050,JVsweep,0.000,48.225,48.225
506.3,0.530,14.357080,JVsweep,0.000,41.301,41.301
506.4,0.520,14.413990,JVsweep,0.000,48.566,48.566
506.4,0.510,14.479380,JVsweep,0.000,49.276,49.276
506.4,0.500,14.411770,JVsweep,0.000,41.369,41.369
506.5,0.490,14.335360,JVsweep,0.000,43.706,43.706
506.5,0.480,14.317960,JVsweep,0.000,42.121,42.121
506.6,0.470,14.269410,JVsweep,0.000,48.309,48.309
506.6,0.460,14.209360,JVsweep,0.000,40.964,40.964
506.7,0.450,14.180000,JVsweep,0.000,48.715,48.715
506.7,0.440,13.975010,JVsweep,0.000,42.027,42.027
506.8,0.430,14.316050,JVsweep,0.000,49.211,49.211
506.8,0.420,14.216750,JVsweep,0.000,49.264,49.264
506.9,0.410,14.203480,JVsweep,0.000,42.608,42.608
506.9,0.400,14.133860,JVsweep,0.000,43.329,43.329
506.9,0.390,14.102830,JVsweep,0.000,41.392,41.392
507.0,0.380,14.149620,JVsweep,0.000,49.036,49.036
507.0,0.370,14.316680,JVsweep,0.000,41.384,41.384
507.1,0.360,14.396330,JVsweep,0.000,48.378,48.378
507.1,0.350,14.370960,JVsweep,0.000,41.734,41.734
507.2,0.340,14.313170,JVsweep,0.000,48.077,48.077
507.2,0.330,14.442930,JVsweep,0.000,41.280,41.280
507.3,0.320,14.509290,JVsweep,0.000,45.334,45.334
507.3,0.310,14.476280,JVsweep,0.000,48.101,48.101
507.3,0.300,14.398620,JVsweep,0.000,41.085,41.085
507.4,0.290,14.383810,JVsweep,0.000,51.422,51.422
507.4,0.280,14.397350,JVsweep,0.000,41.813,41.813
507.5,0.270,14.364870,JVsweep,0.000,48.460,48.460
507.5,0.260,14.345950,JVsweep,0.000,41.412,41.412
507.6,0.250,14.430840,JVsweep,0.000,47.837,47.837
507.6,0.240,14.482800,JVsweep,0.000,41.745,41.745
507.7,0.230,14.395620,JVsweep,0.000,44.816,44.816
507.7,0.220,14.418480,JVsweep,0.000,48.699,48.699
507.8,0.210,14.301680,JVsweep,0.000,41.367,41.367
507.8,0.200,14.191240,JVsweep,0.000,47.725,47.725
507.8,0.190,14.235460,JVsweep,0.000,41.407,41.407
507.9,0.180,14.313990,JVsweep,0.000,47.699,47.699
507.9,0.170,14.282740,JVsweep,0.000,41.940,41.940
508.0,0.160,14.373720,JVsweep,0.000,48.237,48.237
508.0,0.150,14.474340,JVsweep,0.000,41.378,41.378
508.1,0.140,14.470990,JVsweep,0.000,48.286,48.286
508.1,0.130,14.349390,JVsweep,0.000,40.926,40.926
508.2,0.120,14.244100,JVsweep,0.000,46.392,46.392
508.2,0.110,14.275770,JVsweep,0.000,48.650,48.650
508.2,0.100,14.278550,JVsweep,0.000,42.155,42.155
508.3,0.090,14.300810,JVsweep,0.000,49.226,49.226
508.3,0.080,14.291310,JVsweep,0.000,41.112,41.112
508.4,0.070,14.263070,JVsweep,0.000,48.410,48.410
508.4,0.060,14.353230,JVsweep,0.000,41.264,41.264
508.5,0.050,14.526640,JVsweep,0.000,46.528,46.528
508.5,0.040,14.611630,JVsweep,0.000,41.199,41.199
508.6,0.030,14.648310,JVsweep,0.000,45.784,45.784
508.6,0.020,14.587500,JVsweep,0.000,48.066,48.066
508.7,0.010,14.554730,JVsweep,0.000,42.666,42.666
508.7,-0.000,14.556690,JVsweep,0.000,42.149,42.149
508.7,-0.010,14.564160,JVsweep,0.000,41.884,41.884
508.8,-0.020,14.527470,JVsweep,0.000,41.605,41.605
508.8,-0.030,14.571740,JVsweep,0.000,41.568,41.568
508.9,-0.040,14.554880,JVsweep,0.000,48.507,48.507
508.9,-0.050,14.513360,JVsweep,0.000,40.951,40.951
509.0,-0.060,14.472980,JVsweep,0.000,47.239,47.239
509.0,-0.070,14.350350,JVsweep,0.000,40.956,40.956
509.1,-0.080,14.181370,JVsweep,0.000,50.136,50.136
509.1,-0.090,14.180820,JVsweep,0.000,49.710,49.710
,,,,Characteristics
,,,,Initial PCE (%),Voc (V),Jsc (mA/cm²),Rsh (Ohm),Rs (Ohm),FF (%),Vmp (V),Jmp (mA/cm²),V_msp (V),V_mpp (V)
,,,,11.111,1.0393,14.4251,0.2702,0.0059,74.11,0.8200,13.550290,-0.1000,0.8200
509.2,-0.100,13.914450,MSPT,0.000,48.007,48.007
512.2,-0.100,14.222260,MSPT,0.000,34.282,34.282
515.3,-0.100,14.136050,MSPT,0.000,34.096,34.096
518.5,-0.100,14.564100,MSPT,0.000,192.727,192.727
521.5,-0.100,14.123260,MSPT,0.000,34.281,34.281
524.6,-0.100,14.415120,MSPT,0.000,72.080,72.080
527.6,-0.100,14.289480,MSPT,0.000,34.531,34.531
530.6,-0.100,14.392810,MSPT,0.000,34.467,34.467
533.7,-0.100,14.213510,MSPT,0.000,36.951,36.951
536.7,-0.100,14.517190,MSPT,0.000,34.554,34.554
539.8,-0.100,14.177190,MSPT,0.000,36.572,36.572
542.8,-0.100,14.295770,MSPT,0.000,34.174,34.174
545.8,-0.100,14.304640,MSPT,0.000,34.452,34.452
548.9,-0.100,14.407790,MSPT,0.000,54.220,54.220
551.9,-0.100,14.423350,MSPT,0.000,34.293,34.293
555.0,-0.100,14.641470,MSPT,0.000,37.259,37.259
558.0,-0.100,14.169050,MSPT,0.000,35.233,35.233
561.1,-0.100,14.128460,MSPT,0.000,34.231,34.231
564.1,-0.100,14.336770,MSPT,0.000,35.892,35.892
567.1,-0.100,14.362470,MSPT,0.000,34.353,34.353
